Ligand_Name,Best_Score,Second_Score,Third_Score
1-Octacosanol_4668,-9.623,-9.495,-9.205
2-4-chlorphenoxy-ethanol_4328,-6.931,-6.152,-5.987
2-benzhydryloxyethyldiethyl-methylammoniumiodide_4327,-12.546,-11.428,-11.242
2-mercaptobenzothiazole_5522,-6.353,-5.920,-5.587
4-dimethylaminophenol_4312,-6.295,-5.791,-5.220
5-aminolevulinicacidhexylester_167,-8.399,-8.164,-7.726
AMMONIAN-13_4472,-0.857,-0.739,-0.664
CholineC-11_4635,-3.928,-3.839,-3.836
DL-Alanine_4306,-3.746,-3.504,-3.191
FlorbetapirF-18_4285,-9.438,-9.291,-8.981
Flutemetamol18F_4301,-10.298,-10.090,-9.117
Iofetamine123I_1459,-8.112,-7.921,-7.824
IoflupaneI-123_4230,-11.608,-11.396,-11.140
N-Acetylglucosamine_4615,-7.525,-7.464,-7.429
N-Acetyltyrosine_4481,-9.235,-8.801,-8.073
PadimateA_4638,-9.046,-8.883,-8.693
PadimateO_4270,-10.380,-9.949,-9.946
S-nicardipine_5,-11.811,-11.678,-11.319
S-nitrendipine_6,-11.552,-10.981,-10.981
SpiramycinIII_2473,-16.786,-16.646,-15.199
SpiramycinII_2472,-16.649,-16.480,-14.630
SpiramycinI_2471,-16.869,-16.528,-16.018
StreptomycinB_2482,-17.051,-15.223,-15.152
UREAC-13_4323,-2.436,-2.415,-2.410
UREAC14_5147,-2.449,-2.404,-2.109
abacavir_34,-10.171,-9.876,-9.715
abaloparatide_5232,1217293996.652
abametapir_5403,-8.440,-8.438,-7.752
abarelix_35,-18.428,-18.199,-16.981
abemaciclib_5259,-16.586,-15.904
abirateroneacetate_4176,-14.748,-14.439,-14.120
abrocitinib_5504,-10.012,-9.893,-9.827
acadesine_37,-8.288,-8.258,-8.132
acalabrutinib_5260,-15.318,-15.218,-15.160
acamprosate_38,-6.075,-5.816,-5.522
acarbose_39,-15.899,-14.535,-14.327
acebutolol_40,-11.429,-10.502,-10.341
acecarbromal_42,-8.329,-7.860,-7.538
aceclidine_4314,-7.427,-6.778,-6.736
aceclofenac_43,-12.104,-10.970,-10.909
acedapsone_3662,-11.292,-11.235,-10.703
acediasulfone_44,-11.124,-10.074,-9.880
acefylline_49,-8.039,-7.539,-7.355
aceglatone_45,-8.677,-8.675,-8.575
aceglutamide_46,-6.854,-6.605,-6.405
acemetacin_47,-12.279,-12.114,-11.982
acenocoumarol_48,-12.001,-11.980,-11.903
acepromazine_73,-11.131,-10.855,-10.842
aceprometazine_50,-11.041,-10.633,-10.533
acetamidoeugenol_51,-10.406,-9.683,-9.682
acetaminosalol_53,-10.881,-10.581,-10.249
acetanilide_54,-6.493,-6.113,-5.723
acetazolamide_56,-6.743,-6.626,-6.117
aceticacid_4211,-2.747,-2.682,-2.556
acetohexamide_57,-11.546,-11.243,-10.894
acetohydroxamicacid_58,-3.382,-3.294,-3.160
acetophenazine_59,-13.156,-12.802,-12.162
acetoxolone_62,-18.278,-17.795,-17.748
acetrizoicacid_63,-8.221,-7.592,-7.534
acetylcarnitine_64,-6.667,-6.600,-6.277
acetylcholine_65,-5.298,-5.241,-4.754
acetylcysteine_66,-5.554,-5.369,-4.864
acetyldigitoxin_67,-17.511,-17.181,-17.156
acetyldigoxin_68,-15.737,-15.714,-15.601
acetyldihydrocodeine_69,-11.554,-11.550,-11.498
acetylleucine_71,-7.003,-6.822,-6.275
acetylmethadol_1729,-12.806,-12.617,-12.401
acetylpheneturide_72,-10.354,-9.684,-9.494
acetylsalicylicacid_74,-7.410,-7.379,-7.118
acexamicacid_3000,-6.942,-6.616,-6.333
acipimox_76,-6.042,-5.744,-5.098
acitazanolast_77,-8.803,-8.482,-8.181
acitretin_78,-12.606,-9.685
aclarubicin_80,-16.784,-16.363,-16.359
aclatonium_81,-7.435,-7.319,-6.904
aclidiniumbromide_4484,-16.422,-16.173,-13.852
acotiamide_4908,-12.948,-11.336,-11.277
acrivastine_82,-12.768,-12.207,-12.124
actarit_84,-7.864,-7.796,-7.083
actinoquinol_3664,-8.656,-8.566,-8.156
acyclovir_85,-7.604,-7.369,-7.335
adagrasib_5694,-14.466,-13.892,-13.868
adamexine_86,-13.638,-12.697,-12.687
adapalene_87,-16.455,-16.096,-15.501
adefovirdipivoxil_88,-14.588
ademetionine_2414,-12.056,-11.930,-11.834
adenine_89,-5.389,-5.129,-5.083
adenosine_90,-8.969,-8.644,-8.083
adenosinephosphate_92,-10.439,-10.357,-9.901
adenosinetriphosphate_91,-13.491,-13.266,-12.667
adicillin_3421,-11.074,-10.837,-9.964
adinazolam_93,-11.892,-11.792,-11.580
adiphenine_94,-12.236,-11.800,-11.787
adipicacid_3474,-5.858,-5.856,-5.282
adipiodone_1455,-12.061,-12.035,-10.267
adrafinil_95,-10.758,-10.534,-10.153
adrenalone_96,-7.711,-6.882,-6.428
afamelanotide_4836,-0.616
afatinib_4318,-13.961,-13.629,-13.127
afloqualone_98,-11.521,-11.506,-10.596
afoxolaner_5660,-19.193,-18.147
agomelatine_99,-10.154,-9.828,-9.655
ajmaline_100,-11.877,-11.744,-11.699
alacepril_101,-14.178,-13.768,-13.709
alanine_4255,-3.777,-3.616,-3.169
alanylglutamine_4319,-7.367,-7.249,-6.813
alatrofloxacin_102,-17.497
albendazole_103,-8.985,-8.931,-8.482
albendazolesulfoxide_104,-9.245,-9.223,-8.850
albiglutide_4927,723457753.942
albutoin_106,-7.773,-7.276,-7.236
alcaftadine_4165,-11.181,-11.028,-10.842
alclofenac_107,-8.501,-8.193,-7.813
alclometasonedipropionate_4493,-16.909,-15.915,-15.352
alcuronium_109,-15.200,-15.012,-14.951
aldesulfone_2533,-11.465,-11.440,-10.911
aldosterone_111,-14.291,-13.775,-12.711
alectinib_4937,-16.082,-14.204
alendronicacid_112,-7.046,-6.997,-6.741
alexidine_113,-10.852,-10.600,-10.474
alfacalcidol_130,-15.193,-14.925,-13.966
alfadoloneacetate_5045,-14.774,-13.742,-13.526
alfaxalone_133,-13.411,-13.018,-12.189
alfentanil_114,-13.684,-13.129,-12.993
alfuzosin_115,-12.472,-12.463,-12.189
algestoneacetophenide_797,-16.850,-16.675,-16.570
alibendol_117,-9.403,-9.003,-8.856
alimemazine_2749,-11.181,-10.232,-10.185
aliskiren_119,-13.438,-13.423,-13.219
alitretinoin_3862,-13.019,-12.041,-11.634
alizapride_120,-10.812,-10.615,-10.549
alkofanone_121,-12.812,-12.797,-12.715
allantoin_4268,-5.840,-5.803,-5.461
allobarbital_122,-8.982,-8.340,-7.706
alloclamide_123,-10.573,-10.230,-10.169
allomethadione_3666,-6.339,-6.173,-5.611
allopurinol_124,-5.589,-5.514,-5.414
allylestrenol_125,-13.091,-12.148,-11.956
almecillin_3422,-10.176,-10.082,-9.566
alminoprofen_126,-9.051,-8.727,-8.150
almitrine_127,-14.250,-12.131,-11.688
almotriptan_128,-11.191,-11.124,-10.781
alogliptin_4340,-11.414,-11.381,-11.060
alosetron_129,-10.776,-10.693,-10.108
alpelisib_5328,-14.103,-13.803,-13.797
alpha-Ergocryptine_885,-18.095,-16.961
alpha-tocopherolacetate_4195,-14.691,-11.927,-11.813
alphaprodine_132,-9.851,-9.596,-9.515
alpidem_134,-12.521,-12.427,-12.405
alpiropride_135,-11.535,-11.290,-11.112
alprazolam_136,-10.948,-10.835,-10.781
alprenolol_137,-9.786,-9.743,-9.329
alprostadil_138,-12.748,-12.711,-12.508
alsactide_139,503.070
altizide_140,-11.096,-10.853,-10.203
altrenogest_5671,-13.185,-12.912,-12.324
altretamine_141,-6.195,-6.167,-6.158
altropane_3292,-11.746,-11.561,-11.128
alverine_142,-12.129,-12.027,-11.684
alvimopan_143,-16.067,-15.373,-14.847
amanozine_3667,-7.988,-7.631,-7.154
amantadine_144,-8.031,-7.913,-7.102
ambazone_145,-7.683,-7.673,-7.212
ambenonium_146,-12.851,-12.785,-11.887
ambrisentan_4337,-13.403,-13.220,-12.945
ambroxol_147,-10.026,-9.288,-8.821
ambucetamide_148,-10.133,-9.719,-9.700
ambuside_3668,-10.734,-10.703,-10.111
ambutonium_149,-12.107,-11.810,-11.666
amcinonide_150,-17.152,-16.629,-16.287
amenamevir_5266,-16.182,-14.195,-13.373
ameziniummetilsulfate_153,-8.837,-8.708,-7.805
amfecloral_5113,-9.215,-8.797,-8.524
amfetamine_195,-6.876,-6.554,-5.956
amfetaminil_196,-11.181,-10.649,-10.574
amidefrine_155,-8.449,-8.366,-7.717
amifampridine_4336,-4.766,-4.648,-4.022
amifostine_156,-6.471,-6.339,-5.631
amikacin_157,-14.752,-13.807,-12.571
amiloride_158,-7.475,-7.339,-6.689
amiloxate_4500,-10.122,-9.505,-9.351
aminaphthone_159,-12.365,-12.177,-11.561
amineptine_161,-13.634,-13.477,-13.422
aminitrozole_162,-6.376,-6.118,-5.801
aminoacridine_160,-9.468,-9.425,-8.252
aminobenzoicacid_2049,-6.426,-6.396,-5.682
aminobutyricacid_1262,-4.430,-4.312,-3.690
aminocaproicacid_163,-5.461,-5.391,-4.933
aminodiphenylhydantoinvalericacid_5053,-13.219,-13.022,-12.992
aminoglutethimide_164,-10.256,-10.105,-9.026
aminohippuricacid_165,-8.048,-7.407,-6.926
aminohydroxybutyricacid_1263,-4.624,-4.561,-4.268
aminolevulinicacid_166,-5.078,-5.007,-4.561
aminomethylbenzoicacid_22,-6.999,-6.977,-6.103
aminometradine_169,-7.212,-7.096,-6.558
aminophenazone_171,-9.241,-8.293,-8.266
aminopicoline_172,-5.459,-5.333,-5.319
aminopromazine_173,-10.726,-10.717,-10.353
aminopropylone_3670,-10.872,-10.279,-9.934
aminopterin_21,-13.788,-13.772,-13.650
aminoquinuride_174,-13.132,-13.032,-13.006
aminorex_175,-7.581,-6.911,-6.510
aminosalicylicacid_2050,-6.732,-6.706,-5.655
aminosalicylicacidhydrazide_2051,-7.131,-6.846,-5.970
aminoxytriphene_3673,-13.655,-13.408,-13.331
amiodarone_176,-13.705,-13.616,-13.475
amiphenazole_177,-7.891,-7.492,-6.921
amisometradine_3671,-7.487,-7.120,-6.590
amisulpride_179,-11.405,-11.194,-11.143
amitraz_5535,-11.801,-11.616,-11.569
amitriptyline_180,-12.310,-11.328,-11.291
amitriptylinoxide_181,-12.702,-11.822,-11.713
amixetrine_3672,-11.233,-10.900,-9.975
amlexanox_182,-11.277,-10.838,-10.809
amlodipine_183,-12.798,-12.299,-12.242
amobarbital_184,-9.391,-9.383,-8.383
amocarzine_185,-12.313,-11.978,-11.420
amodiaquine_186,-13.012,-12.104,-12.070
amolanone_187,-11.474,-11.440,-11.349
amorolfine_188,-12.903,-11.995,-11.514
amoscanate_189,-9.933,-9.544,-9.379
amosulalol_190,-12.610,-12.537,-12.175
amoxapine_191,-10.645,-10.568,-10.565
amoxicillin_192,-11.716,-11.582,-11.172
amperozide_193,-14.913,-13.876,-13.422
amphenidone_194,-8.441,-8.325,-7.194
amphomycin_5550,-13.370,-12.464
amphotalide_3674,-12.685,-12.376,-12.366
amphotericinB_197,-10.789,-8.843,-8.240
ampicillin_198,-11.375,-11.275,-11.208
ampiroxicam_199,-14.250,-14.221,-13.802
amprenavir_200,-15.092,-14.712,-14.569
amprolium_5557,-9.969,-9.432,-8.954
amprotropine_3675,-11.250,-10.840,-10.823
amrinone_201,-8.029,-7.828,-7.148
amrubicin_202,-15.787,-14.874,-14.786
amsacrine_203,-12.851,-12.484,-12.122
amtolmetinguacil_204,-15.161
amylocaine_206,-9.630,-8.785,-8.690
anagestoneacetate_208,-14.549,-13.766,-13.289
anagliptin_4896,-12.647,-9.929,-9.870
anagrelide_209,-8.924,-8.756,-7.671
anamorelin_5487,-16.889,-16.257,-14.992
anastrozole_210,-10.533,-10.520,-10.441
anazolene_211,-18.538
ancitabine_212,-8.188,-7.907,-7.065
androisoxazole_213,-13.861,-13.330,-12.328
androstanolone_3927,-12.981,-12.535,-11.771
androstenediol_214,-12.989,-12.519,-11.725
androstenedione_215,-13.072,-12.515,-11.796
anecortave_217,-14.308,-13.822,-13.710
anetholetrithione_218,-7.844,-7.443,-7.080
angiotensinII_5272,-19.129,-18.858,-18.619
angiotensinamide_4338,-18.684,-18.523,-18.219
anhydrovinblastine_219,-17.339,-17.095,-17.086
anidulafungin_4357,-16.622,-14.850
anileridine_220,-14.198,-13.155
aniracetam_221,-9.001,-8.778,-7.737
anisindione_222,-10.787,-9.979,-9.752
antazoline_224,-10.382,-10.034,-9.856
antrafenine_3677,-15.244,-14.984,-14.597
apalcillin_227,-16.706,-15.629,-14.994
apalutamide_5278,-15.141,-14.304,-13.986
apatinib_5211,-14.473,-14.276,-13.766
apixaban_4298,-15.508,-14.684,-14.459
apomorphine_228,-11.612,-10.357,-9.892
apraclonidine_229,-8.344,-8.064,-7.332
apramycin_5563,-13.083,-13.004,-12.945
apremilast_4829,-13.996,-12.875,-12.174
aprepitant_230,-15.595,-15.458,-15.042
aprindine_231,-12.599,-12.187,-12.135
aprobarbital_232,-8.850,-8.815,-8.707
apronal_3678,-7.652,-7.244,-6.870
aranidipine_234,-12.400,-12.233,-12.174
arbekacin_235,-14.489,-13.754,-12.725
arbutamine_237,-12.429,-12.110,-11.367
arbutin_4267,-9.943,-9.597,-9.060
arformoterol_4943,-12.519,-11.994,-11.126
argatroban_239,-15.639,-14.501,-14.357
arginine_1549,-6.386,-6.127,-5.721
aripiprazole_242,-15.164,-15.112,-14.265
aripiprazolelauroxil_5052,-12.787,-12.687,-11.994
armodafinil_4501,-10.403,-10.001,-9.800
arotinolol_243,-11.112,-11.106,-8.375
artemether_245,-11.506,-10.551,-10.425
artemisinin_3871,-11.312,-10.214,-10.080
artemotil_246,-11.958,-11.047,-11.025
artenimol_4194,-11.338,-10.193,-10.118
arterolane_5090,-15.227,-13.718,-13.401
artesunate_247,-13.502,-13.325,-13.104
articaine_3070,-8.824,-8.729,-8.523
artisoneacetate_33,-14.900,-13.443,-13.106
asciminib_5495,-15.078,-13.881,-13.814
ascorbicacid_4072,-6.354,-6.288,-5.657
asenapine_4115,-10.199,-10.193,-10.009
asparagine_4126,-4.988,-4.887,-4.513
asparticacid_1550,-4.990,-4.977,-4.523
aspoxicillin_248,-14.575,-14.052
astemizole_249,-15.092,-14.631,-12.660
