Ligand_Name,Best_Score,Second_Score,Third_Score
lurbinectedin_5398,-23.121,-21.781
dactinomycin_774,-22.601,-21.446,-21.417
fondaparinux_1236,-22.316,-21.825,-21.508
cabazitaxel_4153,-22.301,-19.370
vaniprevir_4939,-22.277,-22.187,-21.454
salinomycin_5615,-22.263
teicoplaninaglycone_2580,-22.242,-20.259
lomitapide_4721,-21.889
lanreotide_1546,-21.506,-19.084,-18.910
copperdotatateCu-64_5411,-20.925
daptomycin_783,-20.798
triamcinolonebenetonide_4067,-20.671,-20.106
goserelin_1327,-20.496,-19.565
sulfomyxin_5623,-20.253,-19.212,-18.008
bremelanotide_5329,-20.061,-18.440,-18.232
buserelin_436,-20.006
digoxin_882,-19.959
milbemycinoxime_5579,-19.919,-19.144,-18.438
pirarubicin_2198,-19.826
tirilazad_4063,-19.767
tipranavir_3609,-19.734,-18.731,-17.785
atogepant_5472,-19.717,-18.395
suramin_2966,-19.624,-18.023,-17.747
zotarolimus_2949,-19.619,-18.540,-18.447
octreotide_1980,-19.613,-19.442,-18.313
naldemedine_5220,-19.605,-18.392,-17.117
histrelin_2975,-19.564,-19.189
saquinavir_2422,-19.501
dihydroergocristine_887,-19.458,-18.140,-17.232
gitoxin_3262,-19.450,-16.670,-16.549
monensin_5580,-19.363
leuprorelin_1559,-19.259
dexniguldipine_837,-19.224,-17.424
tylvalosin_5643,-19.200,-17.696,-17.668
afoxolaner_5660,-19.193,-18.147
angiotensinII_5272,-19.129,-18.858,-18.619
casopitant_4401,-19.112
lopinavir_1601,-19.056
terlipressin_2967,-19.056,-18.582,-17.039
doxacurium_2974,-19.053,-18.826,-18.187
vinflunine_3644,-19.053,-18.766,-17.856
fidaxomicin_4180,-19.041,-18.582,-18.473
ibrexafungerp_5462,-19.023,-18.826,-18.723
lypressin_2959,-18.989,-17.651,-17.611
quinupristin_2349,-18.984,-18.661,-18.343
avilamycin_5585,-18.918,-18.775,-18.551
docetaxel_939,-18.858,-18.553,-18.319
desmopressin_817,-18.851,-18.083,-16.873
emodepside_5531,-18.827,-18.812,-18.419
doramectin_5528,-18.814,-17.432,-16.488
tildipirosin_5629,-18.812,-16.812
ubrogepant_5361,-18.810,-18.228,-18.107
deslorelin_5673,-18.795,-18.195,-16.874
davercin_3940,-18.781,-17.935,-17.475
paclitaxel_2044,-18.778,-18.376,-18.273
carbomycin_5658,-18.757,-18.261,-17.519
carbenoxolone_493,-18.737,-17.953,-17.743
penfluridol_2080,-18.731,-18.079,-17.739
eprinomectin_5533,-18.694,-18.011,-17.169
felypressin_4910,-18.690,-18.273,-17.932
angiotensinamide_4338,-18.684,-18.523,-18.219
ornipressin_4679,-18.607,-18.310,-17.578
dutasteride_973,-18.555,-18.291,-18.249
midostaurin_5231,-18.539,-17.608,-17.545
anazolene_211,-18.538
ciclosporin_760,-18.484
abarelix_35,-18.428,-18.199,-16.981
gonadorelin_2958,-18.424,-17.161
umbralisib_5441,-18.419,-16.507,-16.034
lenacapavir_5704,-18.408,-18.222,-17.681
erythromycin_1048,-18.379,-15.732,-15.414
pibrentasvir_5244,-18.377,-18.330,-17.960
vasopressin_2810,-18.344,-18.235,-18.085
trabectedin_4633,-18.290,-17.955,-17.202
maduramicin_5571,-18.285,-18.019,-18.014
acetoxolone_62,-18.278,-17.795,-17.748
velpatasvir_5154,-18.275,-17.394,-16.507
hexafluronium_1365,-18.231,-18.144,-15.822
ciclesonide_633,-18.221,-17.159,-16.052
elbasvir_5080,-18.213,-17.970,-17.385
triptorelin_2968,-18.199,-16.959
venetoclax_5133,-18.194,-18.089,-17.830
enviomycin_3180,-18.146,-16.217
miocamycin_1815,-18.146,-17.713,-17.671
vincristine_2825,-18.121,-17.305,-17.022
ecamsule_3171,-18.110
setmelanotide_5416,-18.101,-17.290,-16.229
alpha-Ergocryptine_885,-18.095,-16.961
ridaforolimus_4778,-18.067,-17.738,-17.458
netupitant_4898,-18.023,-17.243,-17.000
voclosporin_4366,-18.021
falecalcitriol_1127,-17.983,-17.844,-17.399
pancuronium_2052,-17.977,-16.968,-15.061
oxytocin_2042,-17.950,-17.646,-17.577
